Actual_Label,Logistic_Regression_Prediction,Logistic_Regression_Correct,Decision_Tree_Prediction,Decision_Tree_Correct,Random_Forest_Prediction,Random_Forest_Correct
131,131,True,131,True,131,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
131,130,False,130,False,130,False
131,131,True,131,True,131,True
131,131,True,126,False,126,False
131,126,False,123,False,131,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
124,91,False,124,True,124,True
212,126,False,7,False,7,False
126,126,True,126,True,126,True
124,126,False,126,False,124,True
178,126,False,7,False,7,False
126,126,True,126,True,126,True
130,91,False,126,False,126,False
91,7,False,91,True,91,True
131,131,True,131,True,131,True
220,91,False,7,False,7,False
131,131,True,124,False,131,True
7,91,False,7,True,7,True
126,131,False,131,False,131,False
131,131,True,131,True,131,True
91,126,False,91,True,91,True
91,126,False,124,False,124,False
131,126,False,130,False,130,False
130,130,True,126,False,126,False
91,126,False,126,False,126,False
131,130,False,131,True,131,True
178,91,False,178,True,178,True
91,126,False,91,True,91,True
131,131,True,131,True,131,True
125,126,False,130,False,125,True
122,126,False,126,False,126,False
126,126,True,126,True,126,True
126,126,True,126,True,126,True
7,7,True,7,True,7,True
131,126,False,131,True,131,True
125,7,False,130,False,126,False
126,126,True,124,False,126,True
130,131,False,130,True,126,False
126,126,True,131,False,126,True
130,131,False,130,True,130,True
130,126,False,130,True,130,True
131,131,True,131,True,131,True
124,131,False,124,True,124,True
122,131,False,131,False,131,False
126,126,True,131,False,131,False
130,131,False,130,True,130,True
91,91,True,124,False,126,False
131,131,True,126,False,126,False
7,7,True,7,True,7,True
126,126,True,126,True,126,True
131,131,True,7,False,131,True
7,126,False,7,True,7,True
219,7,False,219,True,7,False
7,126,False,178,False,7,True
130,126,False,120,False,130,True
131,131,True,131,True,131,True
147,126,False,131,False,131,False
7,7,True,7,True,7,True
126,131,False,126,True,126,True
126,126,True,126,True,126,True
212,130,False,130,False,130,False
7,126,False,7,True,7,True
70,130,False,130,False,130,False
7,7,True,7,True,7,True
131,130,False,126,False,126,False
131,124,False,131,True,131,True
126,130,False,126,True,126,True
126,126,True,126,True,126,True
130,126,False,130,True,130,True
178,91,False,178,True,126,False
178,126,False,178,True,130,False
126,126,True,126,True,126,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
131,131,True,7,False,131,True
91,126,False,126,False,126,False
131,131,True,131,True,131,True
91,91,True,91,True,91,True
130,126,False,131,False,130,True
91,91,True,91,True,91,True
91,91,True,91,True,91,True
7,7,True,7,True,7,True
178,126,False,178,True,178,True
119,126,False,119,True,119,True
126,126,True,124,False,126,True
126,126,True,126,True,126,True
70,126,False,7,False,7,False
126,131,False,131,False,131,False
7,126,False,126,False,126,False
126,126,True,126,True,126,True
7,7,True,7,True,7,True
7,126,False,7,True,178,False
130,131,False,126,False,131,False
7,126,False,126,False,131,False
91,126,False,91,True,91,True
131,131,True,131,True,131,True
130,126,False,130,True,130,True
124,126,False,126,False,126,False
91,126,False,91,True,91,True
131,126,False,131,True,131,True
119,91,False,119,True,119,True
7,7,True,7,True,7,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
7,7,True,7,True,7,True
126,126,True,126,True,126,True
130,126,False,130,True,130,True
7,7,True,7,True,7,True
212,126,False,121,False,130,False
91,126,False,126,False,126,False
91,131,False,91,True,91,True
7,126,False,7,True,7,True
7,126,False,7,True,7,True
131,7,False,7,False,7,False
147,130,False,147,True,147,True
130,126,False,130,True,130,True
131,126,False,70,False,131,True
131,131,True,7,False,131,True
7,7,True,7,True,7,True
140,126,False,70,False,140,True
130,130,True,130,True,130,True
131,7,False,7,False,7,False
114,126,False,126,False,126,False
126,126,True,126,True,126,True
125,130,False,126,False,126,False
7,126,False,7,True,7,True
7,126,False,7,True,7,True
131,131,True,131,True,131,True
131,126,False,131,True,131,True
7,7,True,7,True,7,True
122,126,False,126,False,126,False
7,7,True,7,True,7,True
91,126,False,91,True,91,True
70,126,False,91,False,91,False
212,91,False,91,False,91,False
131,131,True,126,False,126,False
70,130,False,70,True,130,False
126,126,True,126,True,126,True
126,130,False,126,True,126,True
126,126,True,126,True,126,True
179,130,False,131,False,131,False
7,130,False,130,False,130,False
126,131,False,122,False,126,True
126,126,True,126,True,126,True
7,126,False,7,True,7,True
131,7,False,7,False,7,False
126,126,True,126,True,126,True
125,131,False,125,True,125,True
70,131,False,125,False,131,False
126,126,True,126,True,126,True
126,126,True,91,False,91,False
130,130,True,130,True,130,True
126,126,True,130,False,126,True
126,126,True,126,True,126,True
124,91,False,126,False,91,False
7,126,False,7,True,7,True
7,7,True,7,True,7,True
130,130,True,124,False,130,True
122,126,False,126,False,126,False
7,126,False,7,True,7,True
126,131,False,131,False,131,False
119,119,True,119,True,119,True
131,126,False,126,False,126,False
131,131,True,130,False,131,True
91,7,False,7,False,7,False
91,126,False,91,True,91,True
131,7,False,131,True,7,False
7,7,True,7,True,7,True
131,130,False,131,True,131,True
130,126,False,130,True,130,True
91,126,False,91,True,91,True
130,130,True,130,True,130,True
131,131,True,131,True,131,True
126,7,False,126,True,91,False
126,130,False,126,True,126,True
178,126,False,178,True,178,True
130,131,False,130,True,130,True
124,126,False,126,False,126,False
212,131,False,126,False,126,False
91,131,False,91,True,91,True
7,7,True,7,True,7,True
130,131,False,130,True,130,True
121,121,True,121,True,121,True
126,126,True,131,False,131,False
7,131,False,131,False,131,False
124,126,False,124,True,126,False
131,131,True,131,True,131,True
7,7,True,7,True,7,True
7,91,False,7,True,7,True
126,130,False,126,True,126,True
131,126,False,126,False,126,False
7,130,False,126,False,126,False
91,126,False,91,True,91,True
126,126,True,126,True,126,True
131,131,True,131,True,131,True
7,126,False,126,False,126,False
7,126,False,7,True,7,True
124,131,False,126,False,131,False
125,131,False,131,False,131,False
178,130,False,131,False,131,False
126,126,True,91,False,126,True
131,131,True,130,False,131,True
126,126,True,126,True,126,True
7,126,False,178,False,7,True
124,130,False,130,False,130,False
91,126,False,126,False,91,True
91,126,False,91,True,91,True
147,124,False,147,True,7,False
126,126,True,126,True,126,True
126,126,True,126,True,126,True
7,126,False,7,True,7,True
126,126,True,124,False,126,True
126,131,False,131,False,131,False
126,130,False,212,False,130,False
124,126,False,124,True,124,True
70,126,False,131,False,131,False
7,7,True,7,True,131,False
121,126,False,126,False,126,False
126,130,False,126,True,126,True
91,91,True,126,False,126,False
219,126,False,219,True,219,True
7,91,False,7,True,7,True
120,126,False,7,False,126,False
124,126,False,131,False,130,False
7,126,False,126,False,7,True
131,131,True,131,True,131,True
7,7,True,7,True,7,True
140,126,False,130,False,130,False
212,126,False,131,False,131,False
126,126,True,126,True,126,True
7,7,True,7,True,7,True
130,126,False,130,True,130,True
130,130,True,68,False,130,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
131,131,True,131,True,131,True
91,91,True,91,True,91,True
126,131,False,126,True,126,True
126,130,False,126,True,130,False
220,126,False,7,False,220,True
126,126,True,126,True,126,True
131,131,True,7,False,131,True
91,126,False,91,True,91,True
124,126,False,130,False,126,False
91,126,False,126,False,126,False
220,126,False,7,False,7,False
91,91,True,126,False,91,True
131,7,False,131,True,131,True
121,126,False,121,True,121,True
7,7,True,7,True,7,True
126,131,False,131,False,131,False
91,91,True,91,True,121,False
126,131,False,7,False,126,True
131,126,False,124,False,131,True
126,126,True,126,True,126,True
91,126,False,70,False,126,False
7,126,False,7,True,7,True
131,7,False,7,False,7,False
126,126,True,126,True,126,True
130,126,False,130,True,130,True
131,7,False,131,True,7,False
178,126,False,178,True,178,True
7,7,True,7,True,7,True
126,126,True,126,True,131,False
142,130,False,130,False,126,False
124,126,False,124,True,126,False
7,126,False,7,True,7,True
131,131,True,7,False,131,True
147,124,False,147,True,147,True
131,131,True,126,False,126,False
7,7,True,7,True,7,True
7,7,True,7,True,7,True
122,91,False,126,False,126,False
124,124,True,124,True,124,True
7,126,False,7,True,7,True
131,131,True,131,True,131,True
131,126,False,131,True,131,True
126,126,True,126,True,126,True
131,7,False,7,False,7,False
131,131,True,131,True,131,True
7,7,True,7,True,7,True
7,7,True,7,True,7,True
126,7,False,7,False,7,False
7,131,False,131,False,7,True
7,126,False,7,True,7,True
7,126,False,126,False,126,False
7,7,True,7,True,7,True
131,131,True,124,False,131,True
7,7,True,7,True,7,True
70,130,False,122,False,130,False
7,7,True,178,False,7,True
212,91,False,212,True,91,False
126,126,True,126,True,126,True
91,91,True,91,True,91,True
7,126,False,7,True,7,True
7,7,True,7,True,7,True
7,7,True,7,True,7,True
131,126,False,130,False,126,False
124,126,False,124,True,126,False
126,126,True,126,True,126,True
130,126,False,131,False,131,False
147,126,False,7,False,7,False
91,7,False,126,False,121,False
131,131,True,131,True,131,True
131,126,False,131,True,131,True
126,126,True,126,True,126,True
126,126,True,91,False,126,True
7,7,True,7,True,7,True
131,124,False,131,True,131,True
178,131,False,130,False,130,False
126,126,True,126,True,126,True
91,131,False,91,True,91,True
131,131,True,131,True,131,True
131,131,True,131,True,131,True
91,91,True,124,False,126,False
126,126,True,126,True,126,True
126,126,True,126,True,126,True
91,131,False,91,True,91,True
126,126,True,119,False,122,False
7,7,True,7,True,7,True
7,7,True,7,True,7,True
91,126,False,91,True,91,True
126,126,True,126,True,126,True
7,126,False,7,True,7,True
126,91,False,126,True,126,True
126,126,True,126,True,131,False
7,7,True,7,True,7,True
126,126,True,124,False,126,True
131,7,False,7,False,7,False
131,131,True,131,True,131,True
7,131,False,7,True,7,True
122,126,False,124,False,126,False
126,131,False,131,False,131,False
7,7,True,7,True,7,True
131,131,True,131,True,131,True
7,7,True,7,True,7,True
7,7,True,7,True,7,True
130,126,False,124,False,130,True
130,131,False,130,True,131,False
7,7,True,7,True,7,True
131,126,False,131,True,131,True
131,7,False,7,False,7,False
126,7,False,126,True,126,True
91,91,True,91,True,91,True
130,131,False,130,True,130,True
7,7,True,7,True,7,True
119,130,False,131,False,131,False
126,130,False,70,False,130,False
7,7,True,7,True,7,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
7,7,True,7,True,7,True
130,126,False,130,True,140,False
126,126,True,91,False,91,False
130,126,False,130,True,130,True
126,126,True,126,True,126,True
147,131,False,147,True,147,True
7,7,True,7,True,7,True
131,91,False,131,True,131,True
91,126,False,91,True,91,True
126,130,False,126,True,126,True
91,7,False,91,True,91,True
7,126,False,7,True,7,True
131,126,False,131,True,131,True
7,7,True,7,True,7,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
156,130,False,130,False,130,False
91,126,False,126,False,126,False
124,126,False,124,True,91,False
130,130,True,130,True,130,True
126,91,False,124,False,126,True
130,130,True,130,True,130,True
130,126,False,130,True,130,True
124,91,False,124,True,91,False
131,7,False,131,True,131,True
126,126,True,126,True,126,True
126,130,False,126,True,126,True
7,126,False,7,True,7,True
124,124,True,124,True,124,True
126,126,True,126,True,126,True
91,126,False,91,True,126,False
126,130,False,70,False,126,True
7,7,True,7,True,7,True
7,126,False,7,True,7,True
126,126,True,126,True,126,True
131,130,False,126,False,126,False
7,7,True,126,False,126,False
7,7,True,7,True,7,True
91,91,True,91,True,91,True
126,131,False,126,True,131,False
131,131,True,131,True,131,True
91,126,False,126,False,126,False
126,126,True,126,True,126,True
131,126,False,131,True,131,True
125,131,False,126,False,126,False
131,131,True,131,True,131,True
178,91,False,7,False,7,False
91,126,False,121,False,91,True
131,126,False,126,False,126,False
7,131,False,126,False,126,False
91,126,False,91,True,91,True
130,130,True,126,False,130,True
120,126,False,120,True,120,True
131,126,False,131,True,131,True
7,126,False,7,True,7,True
91,126,False,91,True,91,True
178,126,False,131,False,91,False
5,5,True,5,True,5,True
91,126,False,124,False,126,False
126,131,False,131,False,126,True
126,126,True,126,True,126,True
7,7,True,7,True,7,True
126,126,True,126,True,126,True
7,7,True,7,True,7,True
7,91,False,7,True,7,True
178,126,False,178,True,178,True
131,131,True,131,True,131,True
126,126,True,7,False,126,True
126,131,False,126,True,131,False
126,131,False,7,False,126,True
130,130,True,130,True,130,True
7,7,True,7,True,7,True
126,126,True,126,True,126,True
121,131,False,130,False,131,False
126,126,True,126,True,126,True
7,7,True,7,True,7,True
126,131,False,126,True,126,True
131,7,False,131,True,131,True
91,91,True,91,True,91,True
124,91,False,91,False,91,False
120,126,False,91,False,91,False
126,130,False,130,False,130,False
126,91,False,126,True,126,True
126,126,True,126,True,91,False
131,131,True,131,True,131,True
147,131,False,147,True,147,True
70,126,False,7,False,7,False
126,126,True,126,True,126,True
122,126,False,91,False,126,False
91,126,False,91,True,91,True
7,7,True,7,True,7,True
126,130,False,131,False,130,False
124,130,False,124,True,124,True
126,126,True,126,True,126,True
7,7,True,7,True,7,True
126,91,False,124,False,126,True
130,130,True,126,False,126,False
124,131,False,124,True,126,False
126,126,True,91,False,91,False
126,126,True,126,True,131,False
7,126,False,7,True,7,True
131,130,False,131,True,131,True
124,130,False,7,False,131,False
126,131,False,126,True,126,True
126,126,True,126,True,126,True
91,126,False,91,True,91,True
7,7,True,7,True,7,True
126,126,True,126,True,126,True
7,7,True,91,False,7,True
126,126,True,124,False,126,True
7,7,True,7,True,7,True
131,126,False,7,False,126,False
130,126,False,130,True,130,True
178,131,False,178,True,131,False
131,126,False,131,True,131,True
91,126,False,126,False,126,False
178,126,False,178,True,7,False
7,126,False,7,True,7,True
131,131,True,131,True,131,True
147,131,False,131,False,131,False
178,126,False,178,True,178,True
131,131,True,130,False,131,True
131,131,True,130,False,126,False
131,131,True,126,False,126,False
126,126,True,7,False,126,True
7,126,False,7,True,7,True
126,7,False,126,True,126,True
7,126,False,7,True,7,True
130,126,False,126,False,131,False
212,126,False,212,True,91,False
122,126,False,122,True,131,False
131,131,True,131,True,131,True
130,126,False,130,True,130,True
126,131,False,126,True,126,True
126,130,False,7,False,131,False
126,131,False,131,False,131,False
126,126,True,126,True,126,True
7,126,False,178,False,7,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
7,7,True,7,True,7,True
130,126,False,131,False,130,True
126,126,True,126,True,126,True
142,126,False,91,False,91,False
131,7,False,7,False,7,False
131,131,True,131,True,131,True
7,131,False,131,False,131,False
126,126,True,126,True,126,True
7,126,False,7,True,7,True
126,126,True,91,False,91,False
130,131,False,130,True,130,True
130,131,False,131,False,131,False
91,126,False,91,True,91,True
7,7,True,7,True,7,True
126,131,False,126,True,126,True
220,126,False,178,False,7,False
126,130,False,126,True,126,True
212,131,False,212,True,212,True
212,126,False,212,True,212,True
130,131,False,130,True,126,False
7,7,True,7,True,7,True
122,7,False,91,False,91,False
124,91,False,91,False,91,False
91,91,True,178,False,126,False
131,126,False,120,False,131,True
126,91,False,126,True,126,True
7,126,False,7,True,7,True
130,130,True,126,False,130,True
126,126,True,126,True,126,True
130,131,False,130,True,130,True
124,126,False,126,False,126,False
130,126,False,126,False,126,False
131,131,True,131,True,131,True
7,7,True,7,True,7,True
131,126,False,147,False,131,True
131,131,True,131,True,131,True
7,126,False,7,True,7,True
126,126,True,91,False,126,True
130,131,False,131,False,131,False
130,126,False,130,True,130,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
212,91,False,176,False,212,True
212,220,False,131,False,131,False
126,7,False,126,True,126,True
130,126,False,130,True,130,True
126,126,True,122,False,126,True
7,126,False,7,True,7,True
220,7,False,7,False,126,False
131,126,False,126,False,126,False
124,131,False,130,False,126,False
124,126,False,124,True,124,True
7,126,False,7,True,7,True
126,131,False,126,True,126,True
145,91,False,145,True,91,False
131,126,False,126,False,131,True
131,7,False,131,True,7,False
178,91,False,91,False,91,False
91,91,True,91,True,91,True
126,126,True,126,True,126,True
131,131,True,131,True,131,True
147,124,False,126,False,91,False
126,130,False,126,True,126,True
91,91,True,91,True,91,True
91,126,False,91,True,91,True
124,124,True,124,True,124,True
130,130,True,126,False,130,True
178,91,False,7,False,7,False
131,131,True,131,True,131,True
131,131,True,131,True,131,True
120,91,False,120,True,91,False
126,126,True,126,True,126,True
126,126,True,126,True,126,True
91,91,True,91,True,91,True
130,126,False,7,False,130,True
124,130,False,130,False,130,False
131,131,True,126,False,126,False
91,126,False,70,False,91,True
131,131,True,131,True,131,True
7,7,True,7,True,7,True
7,7,True,7,True,7,True
7,7,True,7,True,7,True
91,91,True,91,True,91,True
7,7,True,7,True,7,True
7,91,False,7,True,7,True
212,130,False,212,True,131,False
126,126,True,124,False,126,True
7,7,True,7,True,7,True
7,7,True,7,True,7,True
7,7,True,7,True,7,True
126,126,True,126,True,126,True
212,126,False,130,False,130,False
131,131,True,131,True,131,True
178,126,False,7,False,7,False
7,126,False,7,True,7,True
212,126,False,147,False,131,False
131,126,False,131,True,131,True
119,126,False,119,True,131,False
91,126,False,126,False,126,False
7,126,False,7,True,7,True
126,126,True,126,True,126,True
126,7,False,126,True,126,True
7,126,False,7,True,7,True
131,7,False,7,False,7,False
91,126,False,91,True,91,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
125,126,False,130,False,126,False
131,130,False,126,False,126,False
131,131,True,131,True,131,True
122,126,False,131,False,131,False
142,126,False,126,False,131,False
131,131,True,131,True,131,True
7,7,True,7,True,7,True
7,126,False,7,True,7,True
131,126,False,126,False,131,True
131,131,True,126,False,126,False
91,124,False,124,False,124,False
126,126,True,126,True,126,True
126,7,False,126,True,126,True
121,131,False,131,False,131,False
68,7,False,7,False,7,False
126,126,True,126,True,126,True
126,131,False,131,False,126,True
131,131,True,70,False,131,True
91,126,False,91,True,91,True
125,91,False,125,True,91,False
122,130,False,126,False,126,False
7,7,True,7,True,7,True
126,131,False,126,True,126,True
7,7,True,7,True,7,True
131,131,True,131,True,131,True
126,126,True,91,False,126,True
7,7,True,7,True,7,True
7,131,False,131,False,130,False
126,126,True,124,False,126,True
7,7,True,7,True,7,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
126,91,False,122,False,126,True
126,131,False,126,True,126,True
7,7,True,7,True,7,True
131,131,True,131,True,131,True
91,126,False,91,True,91,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
7,91,False,7,True,7,True
126,126,True,126,True,126,True
7,126,False,7,True,7,True
131,131,True,124,False,130,False
120,131,False,126,False,126,False
126,126,True,126,True,126,True
126,131,False,131,False,131,False
7,7,True,7,True,7,True
7,7,True,7,True,7,True
91,126,False,91,True,91,True
126,126,True,126,True,126,True
7,7,True,7,True,7,True
91,91,True,91,True,91,True
126,131,False,126,True,126,True
124,91,False,124,True,124,True
130,126,False,130,True,130,True
219,7,False,178,False,7,False
126,131,False,126,True,126,True
126,130,False,126,True,126,True
178,91,False,220,False,7,False
91,126,False,126,False,126,False
7,126,False,7,True,7,True
7,7,True,7,True,7,True
130,130,True,130,True,126,False
130,131,False,7,False,130,True
7,7,True,7,True,7,True
126,126,True,126,True,126,True
124,131,False,122,False,124,True
7,7,True,7,True,7,True
131,7,False,131,True,131,True
91,7,False,212,False,91,True
126,126,True,126,True,126,True
91,91,True,91,True,91,True
130,130,True,130,True,130,True
7,126,False,7,True,7,True
126,7,False,126,True,126,True
131,126,False,131,True,131,True
7,7,True,7,True,7,True
147,126,False,147,True,131,False
7,7,True,7,True,7,True
7,126,False,7,True,7,True
131,131,True,131,True,131,True
126,131,False,131,False,126,True
178,126,False,178,True,178,True
119,126,False,119,True,119,True
178,91,False,178,True,178,True
131,126,False,131,True,126,False
126,126,True,91,False,91,False
176,126,False,130,False,131,False
126,131,False,131,False,131,False
126,126,True,124,False,126,True
126,131,False,131,False,131,False
7,7,True,7,True,7,True
126,91,False,126,True,126,True
7,7,True,131,False,7,True
131,131,True,131,True,131,True
126,131,False,131,False,131,False
126,126,True,126,True,126,True
91,126,False,91,True,91,True
126,126,True,126,True,126,True
130,126,False,130,True,130,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
125,130,False,130,False,130,False
122,126,False,91,False,126,False
126,131,False,130,False,130,False
91,126,False,91,True,91,True
91,126,False,126,False,91,True
126,126,True,126,True,126,True
131,131,True,131,True,130,False
131,126,False,131,True,131,True
126,126,True,126,True,126,True
40,126,False,40,True,40,True
7,7,True,7,True,7,True
91,126,False,126,False,126,False
131,130,False,131,True,130,False
126,126,True,91,False,91,False
178,126,False,178,True,178,True
131,131,True,126,False,131,True
126,126,True,126,True,126,True
91,91,True,91,True,91,True
7,7,True,7,True,7,True
131,130,False,131,True,131,True
7,126,False,7,True,7,True
126,126,True,126,True,126,True
91,126,False,91,True,91,True
7,91,False,7,True,7,True
130,126,False,130,True,130,True
131,131,True,126,False,126,False
131,131,True,7,False,131,True
7,126,False,7,True,7,True
7,7,True,7,True,7,True
130,130,True,130,True,130,True
7,126,False,7,True,7,True
7,7,True,7,True,7,True
126,91,False,126,True,126,True
131,7,False,7,False,7,False
91,126,False,91,True,91,True
7,7,True,7,True,7,True
70,126,False,130,False,130,False
124,124,True,126,False,124,True
91,126,False,126,False,126,False
130,131,False,130,True,130,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
130,131,False,130,True,130,True
126,126,True,126,True,126,True
124,7,False,91,False,126,False
131,131,True,131,True,131,True
7,91,False,7,True,7,True
91,91,True,212,False,212,False
131,130,False,131,True,131,True
7,91,False,7,True,7,True
7,7,True,7,True,7,True
126,126,True,126,True,126,True
7,7,True,7,True,131,False
126,7,False,91,False,126,True
126,126,True,126,True,126,True
7,7,True,7,True,7,True
91,126,False,91,True,91,True
130,131,False,130,True,130,True
7,7,True,7,True,7,True
130,130,True,130,True,130,True
7,126,False,7,True,7,True
126,126,True,91,False,91,False
126,126,True,91,False,126,True
7,7,True,7,True,7,True
126,131,False,126,True,126,True
7,7,True,7,True,7,True
7,7,True,7,True,7,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
126,131,False,126,True,126,True
122,126,False,126,False,126,False
126,126,True,126,True,126,True
40,91,False,40,True,40,True
131,126,False,126,False,131,True
131,131,True,131,True,131,True
126,126,True,131,False,131,False
120,126,False,126,False,126,False
91,126,False,126,False,91,True
147,131,False,147,True,147,True
131,7,False,7,False,7,False
126,126,True,126,True,126,True
91,91,True,91,True,91,True
91,126,False,124,False,126,False
131,131,True,131,True,130,False
221,7,False,212,False,91,False
125,130,False,130,False,130,False
131,131,True,126,False,131,True
91,7,False,212,False,91,True
131,130,False,131,True,131,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
91,126,False,126,False,126,False
91,126,False,91,True,91,True
143,126,False,126,False,126,False
212,91,False,125,False,91,False
130,130,True,130,True,130,True
131,130,False,126,False,126,False
212,126,False,126,False,126,False
178,126,False,178,True,178,True
126,126,True,126,True,126,True
131,131,True,131,True,131,True
126,126,True,124,False,126,True
70,7,False,120,False,131,False
126,126,True,126,True,126,True
126,126,True,91,False,126,True
7,7,True,7,True,7,True
131,126,False,126,False,126,False
7,7,True,7,True,7,True
7,7,True,7,True,7,True
124,130,False,126,False,126,False
40,7,False,178,False,178,False
119,126,False,119,True,119,True
126,130,False,126,True,126,True
126,126,True,126,True,126,True
126,7,False,126,True,126,True
178,126,False,178,True,178,True
131,131,True,131,True,131,True
147,131,False,131,False,131,False
7,126,False,7,True,7,True
131,126,False,131,True,131,True
7,91,False,126,False,126,False
126,126,True,126,True,126,True
126,126,True,126,True,126,True
7,7,True,131,False,7,True
131,131,True,131,True,131,True
126,91,False,126,True,126,True
126,126,True,126,True,126,True
124,131,False,124,True,124,True
125,119,False,131,False,7,False
126,130,False,126,True,126,True
126,131,False,131,False,131,False
126,131,False,130,False,130,False
7,126,False,7,True,7,True
7,7,True,7,True,7,True
122,126,False,126,False,126,False
131,131,True,7,False,131,True
131,131,True,126,False,130,False
126,130,False,130,False,130,False
7,131,False,7,True,7,True
91,91,True,126,False,126,False
7,7,True,131,False,131,False
124,126,False,126,False,126,False
126,126,True,126,True,126,True
126,126,True,126,True,126,True
91,126,False,91,True,91,True
91,126,False,126,False,91,True
126,126,True,119,False,126,True
120,126,False,126,False,91,False
126,131,False,126,True,126,True
126,126,True,126,True,126,True
91,126,False,91,True,91,True
91,91,True,91,True,91,True
131,131,True,131,True,131,True
7,7,True,7,True,7,True
126,126,True,126,True,126,True
131,131,True,131,True,131,True
126,7,False,126,True,126,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
178,126,False,178,True,178,True
131,131,True,130,False,131,True
126,131,False,126,True,126,True
121,121,True,121,True,121,True
126,126,True,126,True,126,True
124,130,False,126,False,126,False
131,131,True,130,False,126,False
7,126,False,7,True,7,True
147,91,False,147,True,147,True
126,131,False,126,True,126,True
125,126,False,126,False,91,False
126,126,True,124,False,126,True
91,126,False,126,False,91,True
130,126,False,130,True,130,True
7,7,True,7,True,7,True
7,7,True,7,True,7,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
91,91,True,91,True,91,True
7,126,False,178,False,7,True
126,126,True,131,False,131,False
126,126,True,124,False,91,False
126,131,False,126,True,124,False
91,7,False,91,True,91,True
91,91,True,91,True,91,True
91,126,False,91,True,70,False
7,7,True,7,True,7,True
7,7,True,7,True,7,True
7,91,False,7,True,7,True
126,131,False,126,True,126,True
131,126,False,131,True,131,True
131,126,False,131,True,131,True
126,126,True,126,True,126,True
130,126,False,126,False,126,False
178,126,False,178,True,178,True
126,126,True,91,False,126,True
131,131,True,131,True,131,True
126,130,False,126,True,126,True
40,126,False,40,True,40,True
126,126,True,126,True,126,True
121,91,False,121,True,121,True
130,130,True,126,False,130,True
178,126,False,178,True,178,True
7,7,True,7,True,7,True
131,126,False,131,True,131,True
7,126,False,7,True,7,True
126,126,True,126,True,126,True
124,126,False,126,False,126,False
126,126,True,126,True,126,True
7,7,True,7,True,7,True
131,131,True,131,True,131,True
126,7,False,126,True,126,True
131,126,False,131,True,131,True
131,126,False,131,True,131,True
126,130,False,130,False,130,False
131,131,True,131,True,131,True
130,126,False,130,True,130,True
130,131,False,131,False,131,False
124,91,False,124,True,126,False
130,130,True,130,True,130,True
126,126,True,91,False,126,True
126,126,True,126,True,126,True
125,126,False,125,True,126,False
7,126,False,7,True,7,True
130,130,True,130,True,130,True
126,126,True,126,True,126,True
126,126,True,122,False,126,True
124,91,False,124,True,124,True
7,7,True,7,True,7,True
7,119,False,131,False,7,True
131,131,True,131,True,131,True
91,126,False,91,True,91,True
131,131,True,131,True,131,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
126,126,True,91,False,91,False
91,126,False,91,True,91,True
91,126,False,126,False,126,False
7,7,True,7,True,7,True
7,7,True,7,True,7,True
219,130,False,219,True,219,True
126,126,True,126,True,126,True
131,131,True,131,True,131,True
91,126,False,126,False,126,False
126,131,False,122,False,131,False
7,7,True,7,True,7,True
131,131,True,131,True,131,True
91,91,True,124,False,124,False
131,7,False,131,True,131,True
126,126,True,126,True,126,True
131,126,False,131,True,131,True
126,7,False,91,False,126,True
7,126,False,7,True,7,True
125,126,False,121,False,125,True
119,126,False,119,True,119,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
91,91,True,91,True,91,True
7,7,True,7,True,7,True
131,131,True,131,True,131,True
7,7,True,7,True,7,True
126,126,True,126,True,126,True
131,126,False,126,False,126,False
126,126,True,126,True,126,True
126,126,True,126,True,126,True
126,126,True,126,True,126,True
126,131,False,131,False,131,False
7,126,False,7,True,7,True
130,126,False,126,False,131,False
131,131,True,7,False,131,True
91,91,True,120,False,91,True
124,126,False,131,False,131,False
131,130,False,131,True,126,False
126,131,False,131,False,131,False
126,126,True,126,True,126,True
126,91,False,124,False,126,True
130,131,False,131,False,131,False
130,91,False,130,True,130,True
7,7,True,7,True,7,True
131,126,False,131,True,131,True
124,126,False,91,False,126,False
126,7,False,126,True,126,True
126,91,False,91,False,91,False
7,126,False,7,True,7,True
156,126,False,91,False,91,False
